keyLength        |encrypt(ms)      |decrypt(ms)      |
1024             |0.731000         |0.100000         |
1024             |0.688000         |0.099000         |
1024             |0.644000         |0.100000         |
1024             |0.663000         |0.103000         |
1024             |0.639000         |0.103000         |
1024             |0.668000         |0.099000         |
1024             |0.650000         |0.098000         |
1024             |0.666000         |0.106000         |
1024             |0.651000         |0.103000         |
1024             |0.664000         |0.103000         |
1024             |0.651000         |0.106000         |
1024             |0.658000         |0.106000         |
1024             |0.642000         |0.103000         |
1024             |0.647000         |0.101000         |
1024             |0.664000         |0.105000         |
1024             |0.662000         |0.098000         |
1024             |0.642000         |0.104000         |
1024             |0.661000         |0.098000         |
1024             |0.633000         |0.101000         |
1024             |0.692000         |0.095000         |
1024             |0.682000         |0.107000         |
1024             |0.655000         |0.111000         |
1024             |0.652000         |0.098000         |
1024             |0.637000         |0.098000         |
1024             |0.660000         |0.099000         |
1024             |0.680000         |0.106000         |
1024             |0.672000         |0.100000         |
1024             |0.649000         |0.099000         |
1024             |0.674000         |0.104000         |
1024             |0.653000         |0.101000         |
1024             |0.650000         |0.110000         |
1024             |0.742000         |0.116000         |
1024             |0.709000         |0.121000         |
1024             |0.646000         |0.099000         |
1024             |0.615000         |0.087000         |
1024             |0.560000         |0.082000         |
1024             |0.622000         |0.087000         |
1024             |0.584000         |0.087000         |
1024             |0.592000         |0.085000         |
1024             |0.596000         |0.089000         |
1024             |0.614000         |0.097000         |
1024             |0.585000         |0.084000         |
1024             |0.600000         |0.084000         |
1024             |0.583000         |0.090000         |
1024             |0.597000         |0.087000         |
1024             |0.576000         |0.084000         |
1024             |0.565000         |0.086000         |
1024             |0.601000         |0.082000         |
1024             |0.606000         |0.088000         |
1024             |0.587000         |0.089000         |
1024             |0.594000         |0.088000         |
1024             |0.593000         |0.090000         |
1024             |0.600000         |0.087000         |
1024             |0.589000         |0.088000         |
1024             |0.609000         |0.087000         |
1024             |0.595000         |0.087000         |
1024             |0.706000         |0.110000         |
1024             |0.650000         |0.089000         |
1024             |0.598000         |0.087000         |
1024             |0.593000         |0.088000         |
1024             |0.575000         |0.089000         |
1024             |0.582000         |0.086000         |
1024             |0.576000         |0.088000         |
1024             |0.767000         |0.106000         |
1024             |0.593000         |0.097000         |
1024             |0.599000         |0.090000         |
