keyLength        |encrypt          |decrypt          |
1024             |3.330000         |0.832000         |
1024             |3.290000         |0.852000         |
1024             |3.302000         |0.847000         |
1024             |3.306000         |0.848000         |
1024             |3.295000         |0.848000         |
1024             |3.300000         |0.842000         |
1024             |3.308000         |0.845000         |
1024             |3.347000         |0.845000         |
1024             |3.316000         |0.868000         |
1024             |3.371000         |0.850000         |
1024             |3.347000         |0.845000         |
1024             |3.298000         |0.847000         |
1024             |3.310000         |0.849000         |
1024             |3.305000         |0.850000         |
1024             |3.305000         |0.843000         |
1024             |3.311000         |0.848000         |
1024             |3.299000         |0.841000         |
1024             |3.300000         |0.842000         |
1024             |3.314000         |0.851000         |
1024             |3.306000         |0.832000         |
1024             |3.299000         |0.839000         |
1024             |3.299000         |0.846000         |
1024             |3.293000         |0.842000         |
1024             |3.308000         |0.849000         |
1024             |3.304000         |0.844000         |
1024             |3.298000         |0.840000         |
1024             |3.304000         |0.841000         |
1024             |3.314000         |0.848000         |
1024             |3.311000         |0.849000         |
1024             |3.305000         |0.846000         |
1024             |3.296000         |0.846000         |
1024             |3.324000         |0.850000         |
1024             |3.302000         |0.848000         |
1024             |3.314000         |0.853000         |
1024             |3.297000         |0.845000         |
1024             |3.297000         |0.846000         |
1024             |3.300000         |0.840000         |
1024             |3.303000         |0.842000         |
1024             |3.297000         |0.841000         |
1024             |3.298000         |0.845000         |
1024             |3.304000         |0.842000         |
1024             |3.305000         |0.837000         |
1024             |3.291000         |0.841000         |
1024             |3.298000         |0.834000         |
1024             |3.302000         |0.843000         |
1024             |3.304000         |0.843000         |
1024             |3.304000         |0.843000         |
1024             |3.302000         |0.843000         |
1024             |3.309000         |0.844000         |
1024             |3.296000         |0.849000         |
1024             |3.316000         |0.837000         |
1024             |3.294000         |0.840000         |
1024             |3.306000         |0.845000         |
1024             |3.298000         |0.852000         |
1024             |3.299000         |0.835000         |
1024             |3.295000         |0.841000         |
1024             |3.300000         |0.833000         |
1024             |3.293000         |0.846000         |
1024             |3.312000         |0.848000         |
1024             |3.312000         |0.844000         |
1024             |3.304000         |0.846000         |
1024             |3.301000         |0.850000         |
1024             |3.440000         |0.839000         |
1024             |3.357000         |0.851000         |
1024             |3.295000         |0.842000         |
1024             |3.311000         |0.843000         |
1024             |3.298000         |0.844000         |
1024             |3.312000         |0.843000         |
1024             |3.291000         |0.835000         |
1024             |3.296000         |0.842000         |
1024             |3.299000         |0.849000         |
1024             |3.306000         |0.840000         |
1024             |3.297000         |0.846000         |
1024             |3.309000         |0.848000         |
1024             |3.306000         |0.851000         |
1024             |3.299000         |0.842000         |
1024             |3.324000         |0.850000         |
1024             |3.312000         |0.844000         |
1024             |3.306000         |0.846000         |
1024             |3.303000         |0.846000         |
1024             |3.302000         |0.846000         |
1024             |3.305000         |0.846000         |
1024             |3.309000         |0.839000         |
1024             |3.435000         |0.923000         |
1024             |3.290000         |0.834000         |
1024             |3.300000         |0.842000         |
1024             |3.298000         |0.837000         |
1024             |3.302000         |0.846000         |
1024             |3.310000         |0.849000         |
1024             |3.304000         |0.848000         |
1024             |3.294000         |0.838000         |
1024             |3.304000         |0.839000         |
1024             |3.302000         |0.844000         |
1024             |3.308000         |0.837000         |
1024             |3.300000         |0.845000         |
1024             |3.295000         |0.830000         |
1024             |3.309000         |0.837000         |
1024             |3.308000         |0.846000         |
